EN,FR
you re very emotional .,tu es fort emotif .
you re very emotional .,tu es tres emotif .
you re very flexible .,tu es tres flexible .
you re very flexible .,vous etes tres flexible .
you re very flexible .,vous etes tres flexibles .
you re very fortunate .,tu as vraiment beaucoup de chance .
you re very fortunate .,vous avez vraiment beaucoup de chance .
you re very forward .,vous etes tres effrontee .
you re very forward .,vous etes fort effrontee .
you re very forward .,vous etes tres effronte .
you re very forward .,vous etes tres effrontees .
you re very forward .,vous etes tres effrontes .
you re very forward .,vous etes fort effronte .
you re very forward .,vous etes fort effrontees .
you re very forward .,vous etes fort effrontes .
you re very forward .,tu es fort effrontee .
you re very forward .,tu es tres effrontee .
you re very forward .,tu es fort effronte .
you re very forward .,tu es tres effronte .
you re very funny .,tu es tres drole .
you re very funny .,tu es fort drole .
you re very funny .,vous etes tres drole .
you re very funny .,vous etes tres droles .
you re very funny .,vous etes fort drole .
you re very funny .,vous etes fort droles .
you re very funny .,vous etes tres marrant .
you re very funny .,vous etes tres marrante .
you re very funny .,vous etes tres marrants .
you re very funny .,vous etes tres marrantes .
you re very funny .,tu es tres marrant .
you re very funny .,tu es tres marrante .
you re very generous .,tu es tres genereux .
you re very generous .,tu es tres genereuse .
you re very generous .,tu es fort genereux .
you re very generous .,tu es fort genereuse .
you re very generous .,vous etes fort genereux .
you re very generous .,vous etes fort genereuse .
you re very generous .,vous etes fort genereuses .
you re very generous .,vous etes tres genereuse .
you re very generous .,vous etes tres genereux .
you re very generous .,vous etes tres genereuses .
you re very good .,vous etes tres bonne .
you re very good .,vous etes tres bonnes .
you re very good .,vous etes fort bonne .
you re very good .,vous etes fort bonnes .
you re very good .,vous etes fort bon .
you re very good .,vous etes fort bons .
you re very good .,vous etes tres bon .
you re very good .,vous etes tres bons .
you re very good .,tu es tres bon .
you re very good .,tu es fort bon .
you re very good .,tu es tres bonne .
you re very good .,tu es fort bonne .
you re very helpful .,tu es tres serviable .
you re very helpful .,tu es fort serviable .
you re very helpful .,vous etes tres serviable .
you re very helpful .,vous etes fort serviable .
you re very helpful .,vous etes tres serviables .
you re very helpful .,vous etes fort serviables .
you re very intelligent .,tu es tres intelligent .
you re very intelligent .,tu es tres intelligente .
you re very intelligent .,vous etes tres intelligent .
you re very intelligent .,vous etes tres intelligents .
you re very intelligent .,vous etes tres intelligente .
you re very intelligent .,vous etes tres intelligentes .
you re very lonely .,tu es tres solitaire .
you re very lonely .,tu es fort solitaire .
you re very lonely .,vous etes tres solitaire .
you re very lonely .,vous etes tres solitaires .
you re very lonely .,vous etes fort solitaire .
you re very lonely .,vous etes fort solitaires .
you re very nice .,vous etes tres gentille .
you re very nice .,tu es tres chouette .
you re very nice .,tu es tres gentil .
you re very nice .,tu es tres gentille .
you re very nice .,vous etes tres gentil .
you re very nice .,vous etes tres gentils .
you re very nice .,vous etes tres gentilles .
you re very nice .,vous etes tres chouette .
you re very nice .,vous etes tres chouettes .
you re very open .,tu es tres ouvert .
you re very open .,tu es tres ouverte .
you re very open .,vous etes tres ouvert .
you re very open .,vous etes tres ouverts .
you re very open .,vous etes tres ouverte .
you re very open .,vous etes tres ouvertes .
you re very perceptive .,tu es tres perspicace .
you re very perceptive .,vous etes tres perspicace .
you re very perceptive .,vous etes tres perspicaces .
you re very resourceful .,tu es plein de ressources .
you re very resourceful .,tu es pleine de ressources .
you re very resourceful .,vous etes plein de ressources .
you re very resourceful .,vous etes pleins de ressources .
you re very resourceful .,vous etes pleine de ressources .
you re very resourceful .,vous etes pleines de ressources .
you re very rude .,tu es tres grossier .
you re very rude .,tu es fort grossier .
you re very rude .,tu es fort grossiere .
you re very rude .,tu es tres grossiere .
you re very rude .,vous etes fort grossiere .
you re very rude .,vous etes tres grossiere .
you re very rude .,vous etes fort grossieres .
you re very rude .,vous etes tres grossieres .
you re very rude .,vous etes tres grossier .
you re very rude .,vous etes fort grossier .
you re very rude .,vous etes tres grossiers .
you re very rude .,vous etes fort grossiers .
you re very sharp .,tu es tres vif .
you re very sharp .,tu es tres vive .
you re very sharp .,vous etes tres vif .
you re very sharp .,vous etes tres vifs .
you re very sharp .,vous etes tres vive .
you re very sharp .,vous etes tres vives .
you re very skeptical .,vous etes tres sceptique .
you re very skeptical .,vous etes fort sceptique .
you re very skeptical .,vous etes tres sceptiques .
you re very skeptical .,vous etes fort sceptiques .
you re very skeptical .,tu es fort sceptique .
you re very skeptical .,tu es tres sceptique .
you re very sophisticated .,tu es tres elegante .
you re very sophisticated .,tu es fort elegante .
you re very sophisticated .,tu es tres elegant .
you re very sophisticated .,tu es fort elegant .
you re very sophisticated .,vous etes tres elegante .
you re very sophisticated .,vous etes tres elegant .
you re very sophisticated .,vous etes tres elegantes .
you re very sophisticated .,vous etes tres elegants .
you re very sophisticated .,vous etes fort elegante .
you re very sophisticated .,vous etes fort elegant .
you re very sophisticated .,vous etes fort elegantes .
you re very sophisticated .,vous etes fort elegants .
you re very sophisticated .,vous etes fort raffine .
you re very sophisticated .,vous etes fort raffinee .
you re very sophisticated .,vous etes fort raffines .
you re very sophisticated .,vous etes fort raffinees .
you re very sophisticated .,vous etes tres raffine .
you re very sophisticated .,vous etes tres raffinee .
you re very sophisticated .,vous etes tres raffines .
you re very sophisticated .,vous etes tres raffinees .
you re very sophisticated .,tu es tres raffine .
you re very sophisticated .,tu es tres raffinee .
you re very sophisticated .,tu es fort raffine .
you re very sophisticated .,tu es fort raffinee .
you re very talented .,vous etes tres talentueux .
you re very talented .,vous etes tres talentueuse .
you re very talented .,vous etes tres talentueuses .
you re very talented .,vous etes fort talentueuse .
you re very talented .,vous etes fort talentueuses .
you re very talented .,vous etes fort talentueux .
you re very talented .,tu es fort talentueux .
you re very talented .,tu es tres talentueux .
you re very talented .,tu es fort talentueuse .
you re very talented .,tu es tres talentueuse .
you re very talented .,tu es plein de talent .
you re very talented .,tu es pleine de talent .
you re very talented .,vous etes plein de talent .
you re very talented .,vous etes pleine de talent .
you re very timid .,tu es tres timide .
you re very timid .,tu es fort timide .
you re very timid .,vous etes tres timide .
you re very timid .,vous etes tres timides .
you re very timid .,vous etes fort timide .
you re very timid .,vous etes fort timides .
you re very timid .,vous etes fort craintif .
you re very timid .,vous etes fort craintive .
you re very timid .,vous etes fort craintifs .
you re very timid .,vous etes fort craintives .
you re very timid .,vous etes tres craintive .
you re very timid .,vous etes tres craintif .
you re very timid .,vous etes tres craintives .
you re very timid .,vous etes tres craintifs .
you re very timid .,tu es fort craintif .
you re very timid .,tu es fort craintive .
you re very timid .,tu es tres craintif .
you re very timid .,tu es tres craintive .
you re very timid .,tu es tres peureux .
you re very timid .,tu es tres peureuse .
you re very timid .,vous etes tres peureux .
you re very timid .,vous etes tres peureuse .
you re very timid .,vous etes tres peureuses .
you re very understanding .,vous etes fort comprehensif .
you re very understanding .,vous etes fort comprehensive .
you re very understanding .,vous etes fort comprehensifs .
you re very understanding .,vous etes fort comprehensives .
you re very understanding .,vous etes tres comprehensif .
you re very understanding .,vous etes tres comprehensive .
you re very understanding .,vous etes tres comprehensifs .
you re very understanding .,vous etes tres comprehensives .
you re very understanding .,tu es tres comprehensif .
you re very understanding .,tu es tres comprehensive .
you re very understanding .,tu es fort comprehensif .
you re very understanding .,tu es fort comprehensive .
you re very upset .,tu es tres contrarie .
you re very upset .,tu es tres contrariee .
you re very upset .,tu es fort contrarie .
you re very upset .,tu es fort contrariee .
you re very upset .,vous etes tres contrarie .
you re very upset .,vous etes tres contrariee .
you re very upset .,vous etes tres contraries .
you re very upset .,vous etes tres contrariees .
you re very upset .,vous etes fort contrarie .
you re very upset .,vous etes fort contrariee .
you re very upset .,vous etes fort contraries .
you re very upset .,vous etes fort contrariees .
you re very wise .,tu es tres sage .
you re very wise .,tu es tres avise .
you re very wise .,tu es fort avise .
you re very wise .,tu es tres avisee .
you re very wise .,tu es fort avisee .
you re very wise .,tu es fort sage .
you re very wise .,vous etes tres sage .
you re very wise .,vous etes fort sage .
you re very wise .,vous etes tres sages .
you re very wise .,vous etes fort sages .
you re very wise .,vous etes tres avise .
you re very wise .,vous etes tres avisee .
you re very wise .,vous etes tres avises .
you re very wise .,vous etes tres avisees .
you re very wise .,vous etes fort avise .
you re very wise .,vous etes fort avisee .
you re very wise .,vous etes fort avises .
you re very wise .,vous etes fort avisees .
you re wasting ammo .,vous gaspillez des munitions .
you re wasting ammo .,tu gaspilles des munitions .
you re wasting time .,vous gaspillez du temps .
you re wasting time .,tu gaspilles du temps .
you re wasting water .,vous gaspillez de l eau .
you re wasting water .,tu gaspilles de l eau .
you re with friends .,tu es avec des amis .
you re with friends .,tu es avec des amies .
you re with friends .,vous etes avec des amis .
you re with friends .,vous etes avec des amies .
you re working hard .,tu travailles dur .
you re working hard .,vous travaillez dur .
you are such a sweetheart .,tu es tellement adorable !
you are such a sweetheart .,vous etes tellement adorable !
he s such a sweetheart .,il est tellement adorable !
she s such a sweetheart .,elle est tellement adorable !
you re such a jerk .,tu es un de ces pauvres types !
you re such a jerk .,vous etes un de ces pauvres types !
he s such a jerk .,c est un de ces pauvres types !
he s such a jerk .,c est un tel pauvre type !
she s about to leave .,elle est sur le point de partir .
he s about to leave .,il est sur le point de partir .
she s about to go .,elle est sur le point de partir .
she s about to go .,elle est sur le point d y aller .
he s about to go .,il est sur le point de partir .
he s about to go .,il est sur le point d y aller .
you re out of booze .,vous etes a sec .
you re out of booze .,t es a sec .
you re out of booze .,t a plus de bibine .
you re out of booze .,c est maree basse .
she s young and attractive .,elle est jeune et attirante .
he s young and attractive .,il est jeune et attirant .
he s old and ugly .,il est vieux et laid .
she s old ugly and fat .,elle est vieille laide et grosse .
i m not shy .,je ne suis pas timide .
he s very protective .,il est tres protecteur .
i m not that kind of girl .,je ne suis pas ce genre de fille .
i m not that kind of girl .,je ne suis pas cette sorte de fille .
he s a bartender .,c est un tenancier de bar .
he s a bartender .,il est tenancier de bar .
he s an arrogant son of a bitch .,c est un fils de pute arrogant .
she s the assistant manager .,c est l assistante de direction .
she s the assistant manager .,c est elle l assistante de direction .
she s the assistant manager .,l assistante de direction c est elle .
she s the manager .,c est la gerante .
she s the manager .,c est elle la gerante .
she s the manager .,la gerante c est elle .
she s the boss .,c est la patronne .
she s the boss .,c est elle le patron .
i m the boss .,c est moi le patron .
i m the boss .,c est moi la patronne .
i m the boss .,je suis le patron .
i m the boss .,je suis la patronne .
he is thick as a brick .,il est vraiment lourd .
he s a foodie .,c est un gourmet .
he s a foodie .,il s agit d un gourmet .
i m not very good at it .,je n y excelle pas .
i m not very good at it .,je n y suis pas tres bon .
he s not very good at it .,il n y est pas tres bon .
he s not very good at it .,il n y excelle pas .
she s not very good at it .,elle n y excelle pas .
she s not very good at it .,elle n y est pas tres bonne .
he s never hit me before .,il ne m a jamais frappe auparavant .
you re not my dad !,vous n etes pas mon papa !
you re not my father !,vous n etes pas mon pere !
you re not my father !,tu n es pas mon pere !
he s hopelessly in love .,il est desesperement amoureux .
she s hopelessly in love .,elle est desesperement amoureuse .
he s afraid to dance .,il a peur de danser .
she s afraid to sing .,elle a peur de chanter .
i m not really an expert .,je ne suis pas vraiment un expert .
i m not happy about it .,je n en suis pas content .
i m not happy about it .,je n en suis pas contente .
you re not interrupting anything .,vous n interrompez rien .
you re not interrupting anything .,vous n interrompez rien du tout .
i m at school now .,je suis actuellement a l ecole .
i m at work now .,je suis actuellement au travail .
he s an advocate of barefoot running .,il est partisan de la course pieds nus .
she s a married woman .,c est une femme mariee .
he s a married man .,c est un homme marie .
we re always careful .,nous sommes toujours prudents .
we re always careful .,nous sommes toujours prudentes .
we re always hungry .,nous avons toujours faim .
we re always right .,nous avons toujours raison .
we re back early .,nous sommes de retour tot .
we re in luck .,nous sommes veinards .
we re in luck .,nous sommes veinardes .
we re not going .,nous n y allons pas .
we re not going .,nous ne nous y rendons pas .
we re not going .,nous ne nous en allons pas .
we re not cops .,nous ne sommes pas flics .
we re not cops .,nous ne sommes pas des flics .
we re handling it .,nous sommes en train de nous en occuper .
we re handling it .,nous sommes en train de nous en charger .
we re going hunting .,nous allons a la chasse .
we re close enough .,nous sommes suffisamment proches .
we re all ok .,nous allons tous bien .
we re a team .,nous sommes une equipe .
we re a family .,nous sommes une famille .
we re lifeguards .,nous sommes sauveteurs .
i m happy with that .,j en suis content .
i m happy with that .,j en suis contente .
they re children .,ils sont enfants .
they re children .,elles sont enfants .
they re free .,ils sont libres .
they re free .,elles sont libres .
they re talking .,ils parlent .
they re talking .,elles parlent .
they re following me .,ils sont en train de me suivre .
they re just words .,ce ne sont que des mots .
they re not afraid .,ils n ont pas peur .
they re still together .,ils sont toujours ensemble .
they re still together .,elles sont toujours ensemble .
they re too fat .,ils sont trop gros .
they re too fat .,ils sont trop gras .
they re too fat .,elles sont trop grosses .
they re too fat .,elles sont trop grasses .
he is a fishmonger .,il est poissonnier .
i m a cop .,je suis flic .
i m all alone .,je suis tout seul .
i m feeling stronger .,je me sens plus fort .
i m freaking out .,je flippe .
i m gathering information .,je rassemble des informations .
i m getting sleepy .,je commence a avoir sommeil .
i m in boston .,je suis a boston .
i m in danger .,je suis en danger .
i m in luck .,je suis veinard .
i m in luck .,je suis veinarde .
i m just tired .,je suis seulement fatigue .
i m just tired .,je suis simplement fatigue .
i m just tired .,je suis seulement fatiguee .
i m just tired .,je suis simplement fatiguee .
i m making tea .,je prepare le the .
i m nearly finished .,j ai presque fini .
i m no different .,je ne suis pas different .
i m no different .,je ne suis pas differente .
i m no fool .,je ne suis pas un idiot .
i m no fool .,je ne suis pas une idiote .
i m no hero .,je ne suis pas un heros .
i m no rebel .,je ne suis pas un rebelle .
i m not perfect .,je ne suis pas parfait .
i m not perfect .,je ne suis pas parfaite .
i m not sad .,je ne suis pas triste .
i m not sick .,je ne suis pas malade .
i m not sleeping .,je ne dors pas .
i m saying no .,je dis non .
i m still waiting .,j attends encore .
i m strong enough .,je suis suffisamment fort .
i m strong enough .,je suis suffisamment forte .
i m strong enough .,je suis assez fort .
i m strong enough .,je suis assez forte .
i m supporting you .,je vous soutiens .
i m voting no .,je vote non .
i m working here .,je travaille ici .
i m your waiter .,je suis votre serviteur .
i m stuck in my job .,je suis coince dans mon boulot .
i m stuck in my job .,je suis coincee dans mon boulot .
we are listening to the radio .,nous sommes en train d ecouter la radio .
he s not going .,il n y va pas .
he s not going .,il ne s y rend pas .
he s not going .,il ne s en va pas .
she s not going .,elle n y va pas .
she s not going .,elle ne s y rend pas .
she s not going .,elle ne s en va pas .
we are the borg .,nous sommes les borgs .
she s a control freak .,c est une maniaque du controle .
he s a control freak .,c est un malade du controle .
he s a control freak .,c est un maniaque du controle .
she s only had two boyfriends .,elle n a eu que deux petits copains .
he s addicted to junk food .,il est accro a la malbouffe .
i m a zombie !,je suis un zombie !
i m not a fan of postmodernism .,je ne suis pas passionne de postmodernisme .
i m a fan of german opera .,je suis un inconditionnel de l opera allemand .
i m a fan of german opera .,je suis une inconditionnelle de l opera allemand .
he s an opera lover .,c est un inconditionnel de l opera .
he s an opera lover .,il adore l opera .
she s an opera fan .,c est une inconditionnelle de l opera .
you re just like your father .,tu es exactement comme ton pere .
you re just like your father .,vous etes exactement comme votre pere .
you re just like your mother .,tu es exactement comme ta mere .
you re just like your mother .,vous etes exactement comme votre mere .
i m getting ready to leave tomorrow .,je me prepare a partir demain .
i m very cold .,j ai tres froid .
she s materialistic and shallow .,elle est materialiste et superficielle .
i m going to shoot him dead .,je vais l abattre .
you re always nagging me .,vous etes toujours en train de me tarabuster .
you re always nagging me .,tu es toujours en train de me tarabuster .
you re going to die .,vous allez mourir .
you re going to die .,tu vas mourir .
you re going to laugh .,tu vas rire .
you re going to laugh .,vous allez rire .
you re not being rational .,tu n es pas rationnel .
you re not being rational .,tu n es pas rationnelle .
you re not being rational .,vous n etes pas rationnel .
you re not being rational .,vous n etes pas rationnels .
you re not being rational .,vous n etes pas rationnelle .
you re not being rational .,vous n etes pas rationnelles .
you re not yourself today .,vous n etes pas vous meme aujourd hui .
you re not yourself today .,tu n es pas toi meme aujourd hui .
i m very much aware of the danger .,je suis tres conscient du danger .
i m very much aware of the danger .,je suis extremement consciente du danger .
i m not like that .,je ne suis pas comme ca .
he s never been in love before .,il n a jamais ete amoureux auparavant .
he s never been in love before .,jamais il n a ete amoureux auparavant .
she s never been in love before .,elle n a jamais ete amoureuse auparavant .
she s never been in love before .,jamais elle n a ete amoureuse auparavant .
he s a man of many talents .,c est un homme aux multiples talents .
she s a woman of many talents .,c est une femme aux multiples talents .
he s a trumpeter .,il est trompettiste .
i m not a lesbian .,je ne suis pas lesbienne .
i m not gay .,je ne suis pas homo .
i m going to kill you for this !,je vais te tuer pour ca !
i m going to kill you for this !,je vais vous tuer pour ca !
i m going to kill him for this !,je vais le tuer pour ca !
i m going to kill her for this !,je vais la tuer pour ca !
i m afraid i don t follow .,je crains de ne pas suivre .
she s a geisha .,elle est geisha .
he s a jesuit .,il est jesuite .
she s a nun .,elle est nonne .
he s such a great guy .,c est un type tellement sympa !
she s attracted to asian guys .,elle est attiree par les mecs asiatiques .
she s attracted to asian men .,elle est attiree par les hommes asiatiques .
he s attracted to asian girls .,il est attire par les filles asiatiques .
he s attracted to asian women .,il est attire par les femmes asiatiques .
she s attracted to black men .,elle est attiree par les hommes noirs .
she s attracted to black men .,elle est attiree par les negres .
he s attracted to black women .,il est attire par les negresses .
he s attracted to black women .,il est attire par les femmes noires .
i m fine with it .,c est bon pour moi .
i m fine with it .,ca me va .
i m fine with it .,ca colle pour moi .
i m not insecure !,je ne manque pas de confiance en moi !
she s insecure .,elle est peu sure d elle .
she s insecure .,elle manque de confiance en elle .
he s insecure .,il est peu sur de lui .
he s insecure .,il manque de confiance en lui .
i m not hitting on you .,je ne te drague pas .
i m not hitting on you .,je ne vous drague pas .
he s a poser .,c est un poseur .
he s a drag queen .,c est une folle .
he s a transsexual .,il est transsexuel .
he s a transsexual .,c est un transsexuel .
he s addicted to heroin .,il est accro a l heroine .
he s addicted to heroin .,il est accro a l hero .
he s addicted to heroin .,il est heroino dependant .
he s addicted to heroin .,il a une assuetude a l heroine .
he s addicted to heroin .,il est dependant a l heroine .
she s an heroin addict .,elle est accro a l heroine .
she s an heroin addict .,elle est accro a l hero .
she s an heroin addict .,elle a une assuetude a l heroine .
she s an heroin addict .,elle est dependante a l heroine .
she s an heroin addict .,elle est heroino dependante .
she is very cunning .,elle est tres rusee .
she is very cunning .,elle est fort rusee .
she s very cunning .,elle est tres rusee .
she s very cunning .,elle est fort rusee .
i m blessed .,je suis beni .
i m blessed .,je suis benie .
i m chicken .,j ai les foies .
i m chicken .,j ai les chocottes .
i m contagious .,je suis contagieux .
i m contagious .,je suis contagieuse .
i m cured .,je suis gueri .
i m cured .,je suis guerie .
i m driving .,je suis en train de conduire .
i m driving .,je conduis .
i m okay .,je vais bien .
i m okay .,je me porte bien .
i m sure .,j en suis certain .
i m sure .,je suis certain .
i m sure .,j en suis sur .
i m sure .,j en suis sure .
i m thinking .,je reflechis .
i m the one who met him .,je suis celui qui l a rencontre .
i m the one who met him .,je suis celle qui l a rencontre .
he s not my boyfriend !,ce n est pas mon petit ami !
he s not my boyfriend !,il n est pas mon petit ami !
i m going on a business trip .,je pars en voyage d affaire .
they are jealous of us .,ils sont jaloux de nous .
they are jealous of us .,elles sont jalouses de nous .
he s writing a book .,il ecrit un livre .
she s writing a book .,elle ecrit un livre .
i am a human being .,je suis un etre humain .
she is materialistic and superficial .,elle est materialiste et superficielle .
he s closed minded .,il est borne .
he s closed minded .,il a l esprit etroit .
she s an art historian .,elle est historienne de l art .
he s a limousine driver .,il est chauffeur de limousine .
he s a limousine driver .,il est chauffeur de maitre .
she s older than you think .,elle est plus vieille que vous ne pensez .
she s older than you think .,elle est plus vieille que tu ne penses .
she s younger than you think .,elle est plus jeune que vous ne pensez .
she s younger than you think .,elle est plus jeune que tu ne penses .
he s older than you think .,il est plus vieux que vous ne pensez .
he s older than you think .,il est plus vieux que tu ne penses .
he s younger than you think .,il est plus jeune que vous ne pensez .
he s younger than you think .,il est plus jeune que tu ne penses .
she s texting her boyfriend .,elle envoie des textos a son mec .
she s texting her boyfriend .,elle envoie des textos a son jules .
i m not interested in a relationship .,je ne suis pas interesse par une relation .
i m not interested in a relationship .,je ne suis pas interessee par une relation .
he s not interested in a relationship .,il n est pas interesse par une relation .
he s my hero .,c est mon heros .
i m going to catch the next bus .,je vais attraper le bus suivant .
he s the same age as me .,il a le meme age que moi .
he s in love with another woman .,il est amoureux d une autre femme .
she s in love with another woman .,elle est amoureuse d une autre femme .
she s in love with another man .,elle est amoureuse d un autre homme .
i m just trying to help .,j essaie juste d aider .
he s away for the weekend .,il est en vadrouille pour le week end .
she s away for the weekend .,elle est en vadrouille pour le week end .
she s very childish .,elle est tres puerile .
she is very popular with the clients .,elle est tres demandee par les clients .
she s very shy .,elle est tres timide .
he s very shy .,il est tres timide .
i m very shy .,je suis tres timide .
i m not like you !,je ne suis pas comme vous !
i m not like you !,je ne suis pas comme toi !
i m not like you !,moi je ne suis pas comme vous !
i m not like you !,moi je ne suis pas comme toi !
i m not like her !,je ne suis pas comme elle !
i m not like him !,je ne suis pas comme lui !
i m not waking you up .,je ne vous reveille pas .
he s washing your car .,il lave votre voiture .
she s better looking than me .,elle a meilleure allure que moi .
he s better looking than me .,il a meilleure allure que moi .
we are sorry for the interruption .,nous sommes desoles pour l interruption .
we are sorry for the interruption .,nous sommes desolees pour l interruption .
he s mowing his lawn .,il tond sa pelouse .
he s mowing his lawn .,il est en train de tondre sa pelouse .
he s wearing a kilt .,il porte un kilt .
she s a poor student .,c est une etudiante pauvre .
i m just a poor student .,je ne suis qu un pauvre etudiant .
she s artsy .,elle se donne un genre artiste .
she s a superstar .,c est une celebrite .
she s a superstar .,c est une vedette .
she s having suicidal thoughts .,elle a des pensees suicidaires .
i m the spokesperson for this organization .,je suis le porte parole de cette organisation .
i m the spokesperson for this organization .,je suis le porte parole de cette institution .
she s the official spokesperson for tatoeba .,c est la porte parole officielle de tatoeba .
he s a misfit .,il est asocial .
he s a misfit .,c est un inadapte .
she s the heiress to a great fortune .,elle est l heritiere d une grande fortune .
she s beautiful but arrogant .,elle est belle mais arrogante .
she s a midwife .,elle est sage femme .
i m not entirely sure .,je ne suis pas entierement sur .
i m not entirely sure .,je ne suis pas entierement sure .
i m not entirely sure .,je n en suis pas entierement sur .
i m not entirely sure .,je n en suis pas entierement sure .
he s a practical man .,c est un homme dote de sens pratique .
she s a hair stylist .,elle est coiffeuse .
i m still at school .,je suis encore a l ecole .
you are beginners but you learn quickly .,vous etes debutants mais vous apprenez vite .
i m not undressing you .,je ne vous deshabille pas .
i m not planting their trees .,je ne plante pas leurs arbres .
you re not overwhelming the children .,vous n abrutissez pas les etudiants .
i m going to learn german .,j apprendrai l allemand .
she s a pacifist .,elle est pacifiste .
she s a pacifist .,c est une pacifiste .
she s a soloist .,elle est soliste .
he s an ashkenazi jew .,il est juif ashkenaze .
he s a sephardic jew .,il est juif sefarade .
he s very smart .,il est tres intelligent .
he s older than your father !,il est plus vieux que ton pere !
she s younger than his daughter .,elle est plus jeune que sa fille .
she s younger than your daughter !,elle est plus jeune que votre fille !
she s younger than your daughter !,elle est plus jeune que ta fille !
i m not invited to parties .,on ne m invite pas aux fetes .
i m not invited to parties .,je ne suis pas invite a des fetes .
i m not invited to parties .,je ne suis pas invitee a des fetes .
she s not invited to parties .,on ne l invite pas aux fetes .
he is going to read a book .,il va lire un livre .
i am going to leave tomorrow .,je vais partir demain .
i m a patient .,je suis un patient .
i m a patient .,je suis une patiente .
she is very angry with me .,elle est tres en colere apres moi .
she s going through a midlife crisis .,elle nous fait une crise de la quarantaine .
i m very short .,je suis tres petit .
i m not saying anything .,je ne dis rien .
i m not scared of anybody .,je ne crains personne .
i m not scared of dying .,je ne crains pas de mourir .
i m not scared of tom .,je n ai pas peur de tom .
i m not scared of you anymore .,je ne vous crains plus .
i m not scared of you anymore .,je n ai plus peur de vous .
i m not scared of you anymore .,je n ai plus peur de toi .
i m not scared of you anymore .,je ne te crains plus .
i m not scared to die .,je ne crains pas de mourir .
i m off duty .,je ne suis pas en service .
i m puzzled .,je suis perplexe .
i m sober .,je suis sobre .
i m sorry i broke my promise .,je suis desolee d avoir rompu ma promesse .
i m sorry i broke my promise .,je suis desole d avoir rompu ma promesse .
i m sorry but i don t understand .,je suis desole mais je ne comprends pas .
i m sorry but i don t understand .,je suis desolee mais je ne comprends pas .
i m sorry i don t buy it .,je suis desole je ne gobe pas ca .
i m sorry i don t buy it .,je suis desolee je ne gobe pas ca .
i m sorry i don t recognize you .,je suis desole je ne vous reconnais pas .
i m sorry i don t recognize you .,je suis desole je ne vous remets pas .
i m sorry i don t recognize you .,je suis desole je ne te reconnais pas .
i m sorry i don t recognize you .,je suis desole je ne te remets pas .
i m sorry i don t recognize you .,je suis desolee je ne vous remets pas .
i m sorry i don t recognize you .,je suis desolee je ne te remets pas .
i m sorry i don t recognize you .,je suis desolee je ne te reconnais pas .
i m sorry i don t recognize you .,je suis desolee je ne vous reconnais pas .
i m sorry i don t speak french .,je suis desole je ne parle pas francais .
i m sorry i don t speak french .,je suis desolee je ne parle pas francais .
i m sorry i don t understand .,je suis desole je ne comprends pas .
i m sorry i don t understand .,je suis desolee je ne comprends pas .
i m sorry it won t happen again .,je suis desole ca ne se reproduira pas .
i m sorry it won t happen again .,je suis desolee ca ne se reproduira pas .
i m starting to feel better already .,je commence a me sentir deja mieux .
i m surprised you didn t know that .,je suis surpris que vous ignoriez cela .
i m surprised you didn t know that .,je suis surprise que vous ignoriez cela .
i m surprised you didn t know that .,je suis surpris que tu ignorais cela .
i m surprised you didn t know that .,je suis surprise que tu ignorais cela .
i m your boyfriend aren t i ?,je suis ton jules n est ce pas ?
i am a girl .,je suis une fille .
they re probably americans .,ils sont probablement etasuniens .
they re probably americans .,elles sont probablement etasuniennes .
they re jealous .,ils sont jaloux .
they re jealous .,elles sont jalouses .
you re my only real friend .,tu es ma seule veritable amie .
you re my only real friend .,vous etes ma seule veritable amie .
you re my only real friend .,tu es mon seul veritable ami .
you re my only real friend .,vous etes mon seul veritable ami .
he s my only real friend .,il est mon seul veritable ami .
she s my only real friend .,elle est ma seule veritable amie .
she s not sleepy .,elle n a pas sommeil .
he s as tall as his father .,il est aussi grand que son pere .
she s eating lunch right now .,elle est en train de dejeuner la .
i am already old .,je suis deja vieux .
i am already old .,je suis deja vieille .
i m getting married next week .,je me marie la semaine prochaine .
i m glad you brought that up .,je suis ravi que tu aies souleve ca .
i m glad you brought that up .,je suis ravie que tu aies souleve ca .
i m glad you brought that up .,je suis ravi que vous ayez souleve ca .
i m glad you brought that up .,je suis ravie que vous ayez souleve ca .
i m glad you brought that up .,je suis ravi que vous ayez souleve cela .
i m glad you brought that up .,je suis ravie que vous ayez souleve cela .
i m glad you brought that up .,je suis ravie que tu aies souleve cela .
i m glad you brought that up .,je suis ravi que tu aies souleve cela .
i m just not very hungry .,je n ai simplement pas tres faim .
i m looking forward to that .,j en suis impatient .
i m looking forward to that .,j en suis impatiente .
i m looking forward to that .,je m en rejouis d avance .
i m looking forward to the next time .,je suis impatient de la prochaine fois .
i m looking forward to the next time .,je suis impatiente de la prochaine fois .
i m really feeling kind of strange .,je me sens etrange d une certaine maniere .
i m really not supposed to do this .,je ne suis vraiment pas suppose faire ca .
i m really not supposed to do this .,je ne suis vraiment pas supposee faire ca .
i m the oldest .,je suis le plus vieux .
i m the oldest .,je suis la plus vieille .
he s a total moron .,c est un cretin absolu .
we re here too .,nous aussi nous sommes la .
we re here too .,nous aussi nous sommes ici .
you re afraid aren t you ?,tu as peur pas vrai ?
you re afraid aren t you ?,vous avez peur pas vrai ?
you re alone aren t you ?,vous etes seule n est ce pas ?
